ID,Feature,Description
R-6,Add/Delete Personal Toolbar bookmark,"Verify that items from the personal toolbar folder are properly
      added/deleted."
R-8,Surf Bookmark,"Verify that double-clicking on a bookmark causes it to be launched in
      a browser window"
R-10,Edit item properties,"Verify that changes to an item are saved without loss of item
      integrity."
R-17,Custom Keywords,surf using user-defined 'custom keyword'.
R-18,Sort by columns,sort and reverse-sort per column
R-20,Show/Hide columns,Show and hide columns.
R-31,Styled Text,"Currently, it is my understanding that there will be no new features
      in this area"
R-32,Styled Text,"Determine whether text copied from a formatted web page (such as
      within a table) has a ""non-annoying"" layout."
R-33,Images,"Determine whether native and non-native images are correctly copied
      to the system Clipboard."
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-39,General,"Determine whether text outputted by JavaScript is properly
      copied."
R-46,D&D to Composer,"Verify that browser contents can be dragged to
      a Composer or Compose Mail window."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-52,D&D from the desktop – Plug-in files,"Confirm that dragging a helper-application
       file to the browser window opens the file
       properly"
R-54,D&D from Find File window,"Verify that items dragged from a
       Find File window are handled properly
       (Windows / Mac OS)"
R-61,"D&D <a href=""/drag-url-browser-toolbar/"">
      Given link is non-fetchable, non-retrievable Personal Toolbar",Determine if you can drag items to and from the Personal Toolbar
R-62,D&D Bookmarks menu to toolbar,"Verify that you can drag a bookmark from the Bookmarks menu
      to the Personal Toolbar."
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-67,Save Form Data - edit menu,Verify that you can save a form's data from the edit menu.
R-69,Save Form Data - dialog yes,"Verify that you can save a form's data from the
      popup dialog box and you click yes."
R-72,Save Form Data - never return,"Verify that you can save a form's data from the popup dialog
      box, never for this site and you are never asked again upon
      returning to the site."
R-73,Prefill - OK Dialog,"Verify that when you encounter a Web site that could be prefilled,
      that you are given the pre-fill dialog and when you click ok, the
      information is filled into the form."
R-79,Delete Form Data - cancel,"Verify that if you delete data in the Form Manager then
      click cancel, the data has not been deleted"
R-81,Installation,"Verify that it is possible to install only the needed help files
        (for components that are actually installed)"
R-82,Tooltips,"Verify that there are ""Big tooltips"" - Similar to popup help for
        Windows control panels"
R-87,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content."
R-92,Glossary,"Verify that in the Glossary there includes a section for an
        Intro/tutorial for NS6."
R-94,Glossary,"Verify that in the Glossary there includes a tutorial on how to do
        better searches"
R-96,Tool bar Minimization,"Verify that minimization, maximize and close buttons of the toolbar
        invoke the correct behavior"
R-105,Instant Messenger,"Determine whether Instant Messenger help content displays
        correctly"
R-109,What's new in Netscape 6,Determine whether What's new in Netscape 6 displays correctly
R-110,Security and Privacy,Determine whether Security and Privacy displays correctly
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-120,Short Cuts,"Determine that you can open all the selections in the Help drop
        down menu using short cut buttons."
R-122,Record after redirect,"Verify that the correct link is recorded after a server
        redirect."
R-123,Load recorded url,"Verify that double-clicking on a history link causes it to be
        launched in a browser window."
R-125,Delete multiple entries,Delete multiple History entries
R-128,Change grouping,Change the History View to Group by Day|Site|None
R-129,Sort by columns,sort and reverse-sort per column
R-132,Don't record everything,"Verify that things that aren't supposed to be added to history
        aren't (eg chorme:/// url's)"
R-138,New session,"Verify that a new session is started with a new browser window or a
        restart."
R-146,Send in mail,"Determine that you can right click an image and send it via
        email."
R-147,Set image as wallpaper,Determine that you are able to set image as wallpaper.
R-150,Cache/Networking,"Determine whether reloaded web pages properly display images
        modified since the last load."
R-152,Image Display,"Determine whether images load directly into the web browser from a
        local hard drive."
R-153,Image Display,"Determine whether animated GIFs continue to animate after an
        extended period of 24 hours or greater."
R-154,Animated Images,"Determine whether an automatically updated web cam continues to
        refresh over an extended (24 hour) period of time."
R-162,Test Liveconnect functionality with applets,Test applets with liveconnect
R-164,Master Password prompt,"Verify that the master password is visually distinctive from other
        password prompts (indicates the functionality and importance of the
        master password)"
R-165,Replace Forgotten Master Password,"Verify that the process to replace a forgotten master password is
      easier/more discoverable (though encrypted information should still be
      lost to the user who has forgotten their password)."
R-166,"Save username and password, yes","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-167,"Save username and password, never for this site","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-169,"Activation, disable after saved","Verify that when the password manager has been disabled, it is no
      longer in use, even for passwords already saved"
R-170,"Activiation, Http Authentication","Need a good working case for this, working on
      it"
R-174,Preferences disable,"Verify that when you disable password manager from the preferences
      panel, you no longer are asked if you would like to save passwords and
      longer get prefilled info on sites"
R-188,Print a Page with frames,Determine whether a page with frames prints properly
R-190,Test Page,Print a test page and check to see if it prints properly
R-191,Alignment Test,"Determine if a page with aligned text prints as seen on
        screen"
R-192,Indentation Test,Determine if a page with indentations prints as seen on screen
R-194,Print HTML forms and widgets,Determine if HTML forms and widgets print properly
R-196,CSS Testcases for printing,Determine if CSS pages print properly
R-199,Sample XML Pages for printing,Determine if XML pages print properly
R-206,Print Paragraph Styles,Determine if paragraph styles print correctly
R-209,Off-Line Printing,Determine that off-line printing works
R-215,Sound tests,Determine if files with various sound formats play properly
R-216,Macromedia Shockwave Tests,Determine if Shockwave movies work properly
R-222,URL/Sidebar interaction,Verify that starting a URL bar search triggers the sidebar
