ID,Feature,Description
R-6,Add/Delete Personal Toolbar bookmark,"Verify that items from the personal toolbar folder are properly
      added/deleted."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-14,Save State,Verify that changes are saved over restart/crash
R-15,View item properties,"Verify that view properties works as appropriate for bookmarks,
      folders, and separators(negative)"
R-16,Rename bookmark inline - not implemented,"Change the name of a bookmark without use of the bookmark properties
      dialog."
R-30,Prevent bad drops,"Verify that it is NOT possible to drop an item onto itself or its
      immediate parent or child"
R-33,Images,"Determine whether native and non-native images are correctly copied
      to the system Clipboard."
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-37,Stress,"Determine whether complicated rich text (such as massively nested
      tables) can be copied."
R-38,General,"Determine whether text can be copied and pasted from text fields
      within a dialog box."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-43,D&D Images across browser windows,"Verify that dragging an image across browser windows
      opens the image"
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-54,D&D from Find File window,"Verify that items dragged from a
       Find File window are handled properly
       (Windows / Mac OS)"
R-57,D&D URL Proxy Icons onto the Desktop,"Verify that dragging the URL proxy icon
      onto the desktop creates a shortcut"
R-58,D&D from Bookmark Manager,"Determine if the application and OS properly
      handle items dragged from the Bookmark Manager"
R-63,Dragging links to AIM,"Verify that you can drag a URL or page content to
      an AIM window"
R-65,Form Manager - Pop-up,"Verify that a form fill popup menu is activated
      when a field gets accessed that has been saved in form
      manager data."
R-66,Form Manager - Permission Zones,"* Longer range:
      there is discussion about introducing Internet permission zones.
      Some of the settings shown here may be controlled by such zones
      (Waiting for Implementation)"
R-72,Save Form Data - never return,"Verify that you can save a form's data from the popup dialog
      box, never for this site and you are never asked again upon
      returning to the site."
R-77,Edit Form Data - cancel,"Verify that if you enter data in the Form Manager and then
      click cancel, the data has not been saved"
R-78,Delete Form Data - remove field value,"Verify that if you delete data in the Form Manager, that this
      data is not shown as an option when prefilling a form."
R-79,Delete Form Data - cancel,"Verify that if you delete data in the Form Manager then
      click cancel, the data has not been deleted"
R-81,Installation,"Verify that it is possible to install only the needed help files
        (for components that are actually installed)"
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-86,Favorite,"Verify that is it is possible to have favorite help topics -
        similar to IE help which has a special tab to add favorite help
        topics."
R-88,TS/Sign on,"Verify that there is Troubleshooting Help about the problem ""if you
        can't sign on"""
R-90,TS/Buddy List,"Verify that there is Troubleshooting Help about the problme ""if you
        can't see anyone in your buddy list window."""
R-91,Glossary,"Verify that in the Glossary there includes a section on tips and
        tricks/tip of the day."
R-92,Glossary,"Verify that in the Glossary there includes a section for an
        Intro/tutorial for NS6."
R-98,Hide/Show toolbar,"Verify that you can hide the toolbar in help as well as reopen
        it"
R-101,Non Clickable Regions,"Verify that clicking non clickable regions in help causes no
        behavior"
R-111,Same time messaging,Determine whether Same time messaging displays correctly
R-116,Security Center,Determine whether the Security Center displays correctly
R-119,About,Determine whether the About Netscape displays correctly
R-121,Record sites,Verify that visited links are recorded.
R-123,Load recorded url,"Verify that double-clicking on a history link causes it to be
        launched in a browser window."
R-126,Erase all,Clear all of history
R-130,Resize columns,Verify that columns are resizable to show/hide more of entries
R-132,Don't record everything,"Verify that things that aren't supposed to be added to history
        aren't (eg chorme:/// url's)"
R-136,Surf Go menuitems,Verify browser goes back and forward to recently visited sites
R-139,Back and forward with named anchors,"Verify browser goes back and forward correctly from sites that use
        named anchors"
R-140,Retain scroll position,"Verify that browser remembers scroll state when returning to pages
        in SH"
R-142,Text and image resize,"Determine that you are not able to resize an image to window when
        there is also text on the page, this is a stand alone image feature
        only."
R-143,Resize to original,"Determine that it is possible to resize an image to it's original
        size after it has been resized to window size."
R-144,Resized to window,"Determine that after resizing an image to it's original size, it is
        possible to resize to window again."
R-152,Image Display,"Determine whether images load directly into the web browser from a
        local hard drive."
