ID,Purpose,Test steps
1,Virtual and physical servers,Verify that the documentation describes how to install the application both in a physical and in a virtual environment
21,Security log,Verify that all relevant information is logged in the security log
23,Log date and system time,Verify that all entries in the log contain the date and system time
24,Protection of meters,Verify that the meter is protected against intrusion. Verify that the meter is protected against tampering. Verify that the meter is protected against malware execution
26,Synchronization with GE controlled NTP,Set wrong time in meter. Synchronize meter with system. Check that server web01 has setting to synchronize time with time server.
29,Switching on and off and status of breakers from other GE system,Verify that switching on is not possible by integration from other system. Verify that switching off is not possible by integration from other system. Verify that status of switches is possible to see by integration.
33,Controlling logout time,Wait for 45 minutes.
35,Traceable metering devices,Kamstrup demonstrates how components can be traced to batch and time of manufacture
43,Function of the metering unit after loss of phases on Cat1,Remove voltage on two of three phases
44,Function of the metering unit after phase loss on Cat2,Remove voltage on two of three phases
49,Scaling of environment,Measure performance during normal reporting operation. Increase CPU & RAM in clusters. Measure performance.
50,50 simultaneous users,"Run operations with a logged-in user. For example, searches and exports. Measure response times in the web interface. Run the same operations with 50 concurrent users. Measure response times in the web interface."
56,Web service calls,Run the export of data.
63,Lifetime Cat1,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
84,Develop test cases,"The supplier shall prepare test cases based on agreed requirements, i.e. agreed Specification unless otherwise agreed."
86,Testing tools,The Contractor shall use a tool designated by the Contracting Authority to follow the Contracting Authority's reporting of test results. The Supplier is responsible for registering in the tool its feedback and status on the Customer's reported errors and comments. The Client currently uses ReQtest in the defect management process.
87,The client's test case,The customer shall have the right to develop own and new test cases based on the Specification. New test cases can be created until Final Acceptance of the Delivery Project.
89,Test report,"The Contractor shall establish a test report for the test phases for which the Contractor is responsible during the Delivery Project, as shown in Figure 1 in clause 3.2."
96,Retesting after modifications,The supplier shall also report possible consequences and impact on other functions from modifications made. The purchaser has the right to require repetition of the tests made in FAT if such modifications are made.
98,Scope of UAT,The purchaser's UAT (User Acceptance Test) shall include testing and verification of all requirements of the Specification unless otherwise agreed.
101,Requirements for delivery and installation in the production environment,"The Supplier shall during installation and commissioning of the Metering System in the Customer's production environment:
-install,
-if applicable configure/parameterize,
-if applicable migrate structure data,
-commission,
-verify and test the Metering System including integrations in the production environment, and 
-perform error corrections and retests"
143,Data in HES,"Verify that structure data can be handled in HES (e.g. Facility ID, Metering Unit). Verify that Metrics can be handled in HES (Metrics with e.g. ID number, status, timestamp). Verify that Events can be handled in HES (Event with e.g. Event ID, times, Alarms)"
149,Automatic collection of Measured values,Verify that the metering system can be configured for regular automatic collection of Measurement values from Metering Units to HES.
188,Exporting reports and data,"Verify that the retrieved measurement and structural data as well as the finished reports can be exported to any standardized text file format, such as csv."
194,Energy values to other system within 10 sec,Verify that the goods are delivered from HES according to the agreed export interval
218,Help function,Verify that there is a help function in the HES user interface that helps the User to understand how to perform tasks using the functionality of the system.
219,Setting the number of decimal places,Verify that it is possible to configure the number of decimal places to be displayed for a measurement value.
220,Recording of measurement value,"Verify that the measured value recorded and stored in the HES is uncorrupted, i.e. exactly the same value as recorded by the Metering Unit.
Request a timestamped measurement value from the Meter and compare what is displayed on the Meter with the information coming into the HES."
