ID,Purpose,Test steps
10,Database hosting,Verify that the system documentation describes the databases and database versions used.
24,Protection of meters,Verify that the meter is protected against intrusion. Verify that the meter is protected against tampering. Verify that the meter is protected against malware execution
29,Switching on and off and status of breakers from other GE system,Verify that switching on is not possible by integration from other system. Verify that switching off is not possible by integration from other system. Verify that status of switches is possible to see by integration.
32,Send the same info again,Receive same info from file. Receive same info from meter
33,Controlling logout time,Wait for 45 minutes.
35,Traceable metering devices,Kamstrup demonstrates how components can be traced to batch and time of manufacture
49,Scaling of environment,Measure performance during normal reporting operation. Increase CPU & RAM in clusters. Measure performance.
56,Web service calls,Run the export of data.
58,Integrations via files,Put the import file in the import folder.
63,Lifetime Cat1,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
71,Grid snapshot - Default values,Provoke an overvoltage on one of the meter's phases and verify that events are sent instantaneously to HES. Verify that the correct register (OBIS codes) is associated with the event. Verify that the Optical Eye shows the grid snapshot for the power misdirection event. Verify that the Optical Eye shows the grid snapshot for the voltage rise event
84,Develop test cases,"The supplier shall prepare test cases based on agreed requirements, i.e. agreed Specification unless otherwise agreed."
89,Test report,"The Contractor shall establish a test report for the test phases for which the Contractor is responsible during the Delivery Project, as shown in Figure 1 in clause 3.2."
96,Retesting after modifications,The supplier shall also report possible consequences and impact on other functions from modifications made. The purchaser has the right to require repetition of the tests made in FAT if such modifications are made.
101,Requirements for delivery and installation in the production environment,"The Supplier shall during installation and commissioning of the Metering System in the Customer's production environment:
-install,
-if applicable configure/parameterize,
-if applicable migrate structure data,
-commission,
-verify and test the Metering System including integrations in the production environment, and 
-perform error corrections and retests"
141,Metering units in HES,"Verify that it is possible to install new Metering Unit - Cat 1, 1 phase. Verify that it is possible to install new Metering Unit - Cat 1, 3 phase. Verify that it is possible to install new Metering Unit - Cat 2. Replace meter type Cat 1, 1 phase. Replace meter type Cat 1, 3 phase. Replace meter type Cat 2. Take down meter type Cat 1, 1 phase. Take down meter type Cat 1, 3 phase. Take down meter type Cat 2"
194,Energy values to other system within 10 sec,Verify that the goods are delivered from HES according to the agreed export interval
216,Time interval for measured values,Verify that there is functionality to select different time intervals and time resolution for the Metrics presented.
