ID,Feature,Description
R-4,Create new bookmark,Verify new bookmarks can be created (not added).
R-6,Add/Delete Personal Toolbar bookmark,"Verify that items from the personal toolbar folder are properly
      added/deleted."
R-9,Surf All Bookmarks,Verify that there are no 'dead' default links.
R-13,Create/Delete separator,Verify separators are properly added/deleted.
R-18,Sort by columns,sort and reverse-sort per column
R-34,Negative,"Determine whether non-copyable page content such as UI widgets are
      correctly omitted from the Clipboard content."
R-35,Overflow,"Determine whether extremely large text blocks can be copied from web
      pages."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-42,D&D Links onto the Desktop,"Confirm that dragging a link from the browser window
      onto the desktop creates a shortcut."
R-44,D&D Images onto the Desktop,Vrify that dragging an image onto the desktop saves the image
R-53,D&D from the destkop – Invalid Items,"Confirm that invalid items dragged to the
      browser window are handled properly"
R-59,D&D to Bookmark Manager,"Determine if the Bookmark Manager properly handles
      items dragged onto it."
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-68,Save Form Data - right click,"Verify that you can save a form's data by right clicking on
      the form itself."
R-69,Save Form Data - dialog yes,"Verify that you can save a form's data from the
      popup dialog box and you click yes."
R-74,Prefill - cancel dialog,"Verify that when you encounter a Web site that could be prefilled,
      that you are given the pre-fill dialog and when you click cancel,
      the information is not filled into the form."
R-75,Prefill - choose,"Verify that when you encounter a Web site that could be prefilled
      and have several choices for fields that you are given the pre-fill
      dialog and can select from the appropriate values and the information
      is filled into the form."
R-80,F1 shortcut key,Verify that the F1 key brings up the Help dialog
R-86,Favorite,"Verify that is it is possible to have favorite help topics -
        similar to IE help which has a special tab to add favorite help
        topics."
R-87,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content."
R-92,Glossary,"Verify that in the Glossary there includes a section for an
        Intro/tutorial for NS6."
R-95,Forward/Back,Verify the functionality of the forward/back buttons in Help
R-96,Tool bar Minimization,"Verify that minimization, maximize and close buttons of the toolbar
        invoke the correct behavior"
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-121,Record sites,Verify that visited links are recorded.
R-126,Erase all,Clear all of history
R-133,Don't show 302 redirect,Don't ever show 302 redirects in history
R-137,Back and forward with frames,"Verify browser goes back and forward correctly from page with
        frames."
