ID,Feature,Description
R-11,Delete Folder,Verify folder(s) are correctly deleted.
R-34,Negative,"Determine whether non-copyable page content such as UI widgets are
      correctly omitted from the Clipboard content."
R-35,Overflow,"Determine whether extremely large text blocks can be copied from web
      pages."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-102,Help Contents,Determine whether Help Contents displays correctly
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-118,Feedback Center,Determine whether the Feedback Center displays correctly
R-146,Send in mail,"Determine that you can right click an image and send it via
        email."
R-185,"Tasks, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager (lycos.com)"
R-187,"Tasks, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager"
R-189,Page with various formats,Determine whether a page with various formats prints properly
R-211,Print Range,Determine that print range works properly
R-212,Macromedia Flash plugin,Determine if flash movies play correctly.
R-225,Bookmark Search,Verify that a search query/results can be bookmarked
R-233,Drag Scroll,Determine whether drag-scrolling gestures function properly.
R-250,Re-Order,Verify reordering of panels works
R-252,Save,Verify that order and panel list is immediately applied
R-272,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-288,Find,Find strings in the source window.
R-296,Select and copy,Select and copy from the info window.
R-300,Testing under Modern theme,Verify Modern theme works as advertised
R-304,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-309,Active/Inactive Window,"The active window is visually distinct, inactive = grey title
        bar."
