ID,Purpose,Test steps
1,Virtual and physical servers,Verify that the documentation describes how to install the application both in a physical and in a virtual environment
10,Database hosting,Verify that the system documentation describes the databases and database versions used.
20,Encryption keys,Verify that the solution description details how encryption keys are managed
21,Security log,Verify that all relevant information is logged in the security log
24,Protection of meters,Verify that the meter is protected against intrusion. Verify that the meter is protected against tampering. Verify that the meter is protected against malware execution
26,Synchronization with GE controlled NTP,Set wrong time in meter. Synchronize meter with system. Check that server web01 has setting to synchronize time with time server.
29,Switching on and off and status of breakers from other GE system,Verify that switching on is not possible by integration from other system. Verify that switching off is not possible by integration from other system. Verify that status of switches is possible to see by integration.
32,Send the same info again,Receive same info from file. Receive same info from meter
35,Traceable metering devices,Kamstrup demonstrates how components can be traced to batch and time of manufacture
43,Function of the metering unit after loss of phases on Cat1,Remove voltage on two of three phases
44,Function of the metering unit after phase loss on Cat2,Remove voltage on two of three phases
50,50 simultaneous users,"Run operations with a logged-in user. For example, searches and exports. Measure response times in the web interface. Run the same operations with 50 concurrent users. Measure response times in the web interface."
63,Lifetime Cat1,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
84,Develop test cases,"The supplier shall prepare test cases based on agreed requirements, i.e. agreed Specification unless otherwise agreed."
87,The client's test case,The customer shall have the right to develop own and new test cases based on the Specification. New test cases can be created until Final Acceptance of the Delivery Project.
89,Test report,"The Contractor shall establish a test report for the test phases for which the Contractor is responsible during the Delivery Project, as shown in Figure 1 in clause 3.2."
98,Scope of UAT,The purchaser's UAT (User Acceptance Test) shall include testing and verification of all requirements of the Specification unless otherwise agreed.
101,Requirements for delivery and installation in the production environment,"The Supplier shall during installation and commissioning of the Metering System in the Customer's production environment:
-install,
-if applicable configure/parameterize,
-if applicable migrate structure data,
-commission,
-verify and test the Metering System including integrations in the production environment, and 
-perform error corrections and retests"
141,Metering units in HES,"Verify that it is possible to install new Metering Unit - Cat 1, 1 phase. Verify that it is possible to install new Metering Unit - Cat 1, 3 phase. Verify that it is possible to install new Metering Unit - Cat 2. Replace meter type Cat 1, 1 phase. Replace meter type Cat 1, 3 phase. Replace meter type Cat 2. Take down meter type Cat 1, 1 phase. Take down meter type Cat 1, 3 phase. Take down meter type Cat 2"
143,Data in HES,"Verify that structure data can be handled in HES (e.g. Facility ID, Metering Unit). Verify that Metrics can be handled in HES (Metrics with e.g. ID number, status, timestamp). Verify that Events can be handled in HES (Event with e.g. Event ID, times, Alarms)"
188,Exporting reports and data,"Verify that the retrieved measurement and structural data as well as the finished reports can be exported to any standardized text file format, such as csv."
220,Recording of measurement value,"Verify that the measured value recorded and stored in the HES is uncorrupted, i.e. exactly the same value as recorded by the Metering Unit.
Request a timestamped measurement value from the Meter and compare what is displayed on the Meter with the information coming into the HES."
224,Filtering and sorting in alarm list,Verify that a User has the ability to filter and sort in the alarm list.
237,Detecting meters with communication problems,Verify that in HES it is possible for the User to detect and see individual Metering Units that have communication problems.
238,View last measurement value and time,Verify that the last Measured Value and the time of communication with the Metering Unit are displayed in HES. Verify that the last Measured Value and the time of communication with the Metering Unit are displayed in the HES.
245,Customer interface is disabled by default,"Verify that on delivery from the factory, the Customer Interface of the Metering Unit is deactivated."
260,Selecting dates with calendar function,"Verify that where there is a need to select dates in HES, this is done through a time and calendar function."
263,Calendar in Swedish format,"Verify that the HES calendar is displayed in Swedish format (YYYY-MM-DD, Y=year, M=month, D=day)"
271,copy static fields,"Verify that it is possible to copy static fields in HES such as headers, status, responses to Events in the system."
273,Request further confirmation,"Verify that commands, initiated by the User in HES, which may have serious consequences in case of incorrect handling (deletion of stored measurement and structure data and switching off and on of power) require additional confirmation before being executed. Verify that commands which do not have serious consequences do not require additional confirmation before being executed."
274,Mass deletion,Verify that in HES there is a function to perform mass deletion of overall structure data objects so that all linked relations are also deleted. E.g. that this is implemented via group membership.
281,Create groups,"Verify that groups can be created dynamically by the User in HES using different parameters, e.g. Facility ID for export of collected data or meter software upgrade where group can be by postcode or meter identity."
319,Record communication errors,"Verify that the Metering System is able to record and store information when the following Events occur:
8. communication failure"
327,Record when high power exceeds limit value per phase,"Verify that the Metering System is able to record and store information when the following Events occur:
14. High power exceeds set limit value per phase"
348,Status of the customer interface,Verify that in HES it is possible to see if the Customer Interface in a Metering Unit is enabled or disabled for data sending.
360,Block switches from HES,"For Cat1 - 1 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat1 - 3 phase meters, verify that the Meter breaker can be blocked from HES to prevent local connection. For Cat2 meters, verify that the Meter breaker cannot be blocked from HES to prevent local connection."
404,View meters with communication problems in map,Verify that in HES it is possible to visualize Metering Units with communication problems in a graphical view/map that can be zoomed in and out.
414,type approval - Cat1,"Verify that the Extended Type Approval and Certification of Metering Units is carried out according to method SPM 1618, test with 12 kV surge voltage."
415,type approval - Cat2,"Verify that the Extended Type Approval and Certification of Metering Units is carried out according to method SPM 1618, test with 12 kV surge voltage."
430,Management of both primary and secondary registration - Cat2,Verify that the Metering Units can handle primary registration of Measured Values. Verify that the Metering Units can handle secondary registration of Measured Values.
441,Visible manufacturing number - communication module - Cat1,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
442,Visible manufacturing number - communication module - Cat2,Verify that a serial number on a Communication Module is positioned so that it is not visible on the front of the Metering Unit.
445,Resistant marking - Cat1,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
446,Resistant marking - Cat2,"Verify that the labeling of the Meter's manufacturing number is durable for the lifetime of the Meter, i.e. no removable tape or print that can be scraped off."
451,Location of the marking - Cat1,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
452,Location of the label - Cat2,"Verify that the Meter's serial number is placed on a non-removable part (not connector cover, not Communication Module cover, etc.)."
455,Designed for wall mounting - Cat1,Verify that the Metering Units are designed for wall mounting.
456,Designed for wall mounting - Cat2,Verify that the Metering Units are designed for wall mounting.
463,Terminal block - Cat1,Verify that the Metering Unit has terminal covers that cover the connection cable layer.
464,Terminal block - Cat2,Verify that the Metering Unit has terminal covers that cover the connection cable layer.
467,mounting bracket - Cat1,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
468,mounting bracket - Cat2,Verify that there is a mounting bracket placed on the top of the metering unit for mounting.
471,sealing device - Cat1,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
472,sealing device - Cat2,Verify that the sealing device of the Metering Unit is raised and clearly visible for smooth and accessible passage of the sealing wire.
478,Management of both primary and secondary registration - Cat1,Verify that the Metering Units can handle both primary and secondary recording of Metering Values.
480,Life expectancy of communication equipment - Cat1,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
485,Lifetime Cat2,A Metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
486,Life expectancy of communication equipment - Cat2,Verify that communication equipment meets the life expectancy requirement of >=15 years from the date of delivery to GE.
489,Recovery time after communication breakdown max 60 min,Break the communication link from meter. Voltage is left in meter. Wait one hour and turn on the link again.
596,logging of events,Verify in HES that the events and their attribute values can be displayed in an event list.
616,Installation of new metering device via integration,Information regarding structure data for new set-up is sent from the integration interface Mint to Collection Manager. Verify that information entered on the user point in Collection Manager corresponds to what is specified in the Work Order. An acknowledgment is sent to Generis that the meter is set up in Collection Manager. Check that the user point is displayed under the correct coordinates in the map view in Vision. Check that the meter has the correct profile and that Energy values. PQ values and GSM diagnostics are pushed from the meter at the correct interval.
618,Dismantling of metering unit via integration,Information regarding the structure data for the removal of a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the metering unit is removed in Collection Manager and does not have a connection to the user point.
619,Update of measurement point in CM,Information regarding the structure data for updating a metering unit is sent from the integration interface Mint to Collection Manager. Verify that the information to be updated via Mint has also been changed at the current user point.
