ID,Feature,Description
R-5,Delete Bookmark,"Verify that bookmarks are properly deleted from bookmarks file and
      disappear from all access points."
R-15,View item properties,"Verify that view properties works as appropriate for bookmarks,
      folders, and separators(negative)"
R-42,D&D Links onto the Desktop,"Confirm that dragging a link from the browser window
      onto the desktop creates a shortcut."
R-43,D&D Images across browser windows,"Verify that dragging an image across browser windows
      opens the image"
R-81,Installation,"Verify that it is possible to install only the needed help files
        (for components that are actually installed)"
R-95,Forward/Back,Verify the functionality of the forward/back buttons in Help
R-132,Don't record everything,"Verify that things that aren't supposed to be added to history
        aren't (eg chorme:/// url's)"
R-163,Test lifecycle of applets,Test lifecycle of applets
R-167,"Save username and password, never for this site","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-194,Print HTML forms and widgets,Determine if HTML forms and widgets print properly
R-203,Print Lists,Determine if lists print correctly
R-253,What's Related,Verify that What's Related lists related sites
R-301,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-303,Verify all the selectable items work under Classic theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Classic theme"
R-317,Scroll Arrow Down,Click down arrow to scroll page
