ID,Feature,Description
S2,Traceable metering devices,"All delivered metering devices, down to component level, shall be traceable and can be linked at least to the manufacturing batch and time of manufacture"
S24,Operation of the metering unit after phase loss,The metering unit in a 3-phase installation shall continue to function even if one or two phases are lost.
S28,Lifespan,A metering Unit shall have a life expectancy of 15 years from the date of delivery to GE.
S30,Quantity of faulty meters allowed,"Over the expected lifetime of the Metering Units, the occurrence of failures (requiring meter replacement) shall not exceed 0.75 % per year of the installed volume."
S38,Events linked to HES,Events and associated records (OBIS codes) shall be sent instantaneously to HES.
S58,Cumulative calculator,The metering unit shall be equipped with a cumulative counter and display at least 7 integer digits and 3 decimal digits.
S59,Metering unit display,"The display of the metering unit shall be able to show for each phase the instantaneous value of voltage, current, power for the output and input of electricity."
S60,Correct meter setting,"The meter reading on the Metering Unit shall always match the numerical capacity of the collected Energy Value and the display, even in the event of a rollover."
S70,Visible production number - communication module,A serial number on a Communication Module shall be positioned so that it is not visible on the front of the Metering Unit.
S72,Resistant labeling,"The marking of the Meter's manufacturing number shall be permanent for the lifetime of the Metering Unit, i.e. no removable tape or print that can be scraped off."
S73,Legible labeling,"The marking of the meter's production number must be clearly legible
- i.e. the font size must not be too small so that the number becomes difficult to read, e.g. for a customer"
S75,Location of the label,"The manufacturing number of the meter shall be placed on a non-removable part (not connection cover, not communication module cover, etc.)."
S77,Designed for wall mounting,The metering units shall be designed for wall mounting.
S81,Plinth cap,The metering unit shall have a terminal cover that covers the connection cable layer.
S86,Management of both primary and secondary registration,"The metering units shall be able to handle both primary and secondary registration of Metrics,"
S89,Metering unit in HES,"In HES there should be functionality for automatic and manual administration:
- Installation of new Metering Unit
- Replacement of the Metering Unit
- Decommissioning of Metering Unit"
S91,Data in HES,"The HES shall handle at least the following types of data:
- Structure data (e.g. Facility ID, Metering Unit)
- Metrics (Metrics with e.g. ID number, status, timestamp)
- Events (Event with e.g. Event ID, times, Alarms)"
S111,Exporting reports and data,"Retrieved measurement and structural data as well as completed reports shall be exportable to any standardized text file format, such as csv."
S116,Scaling of environment,HES shall be scalable so that the required performance can be maintained with increased data volumes.
S119,Energy values are exported within 30 sec,The energy values (15-minute values) shall be exportable from HES via integrations to other systems within 30 seconds after registration in HES
S135,Time interval for metric values,There shall be functionality to select different time intervals and time resolution for the Metrics presented.
S136,Setting the number of decimal places,"In the HES user interface, it shall be possible to set the number of decimal places to be displayed for a Metric Value."
S137,Recording of Metric value,"The metric value recorded and stored in the HES shall be unadulterated, i.e. exactly the same value as recorded by the Metering Unit."
S143,logging of events,Events in the Metering System shall be logged in an event list in HES.
S147,Display of PQ values,"In HES, it should be possible to analyze and visualize PQ values in e.g. graphs and bar plots."
S148,Time stamp for metric values,Each Metric shall be time stamped with the current time it was received by HES.
S152,Selecting dates with calendar function,"Where there is a need to select dates in HES, this should be possible through a time and calendar function."
S163,Request further confirmation,"Commands, initiated by the User in HES, which may have serious consequences in case of incorrect handling (deletion of stored measurement and structure data and disconnection and reconnection of power) shall require additional confirmation before execution"
S166,Authorization profiles for user rights,"HES shall have authorization profiles for at least the following user rights:
- Accessing operating system, starting and stopping the system, updating database, changing authorization profiles, etc.
- Input/update of structural data, collection of Metering values, etc.
- Connection and disconnection of the customer installation via the Metering Unit switch
- Access to Metering Unit meter data and settings
- Only 'view', not 'edit'"
S171,Connection and disconnection of breakers from other GE systems,The HES shall be able to receive calls from other business systems within GE for connection and disconnection of customer facilities via the Metering Unit's switch.
S172,Status of switches to other GE system,The HES shall be able to send information to other facility systems if a Metering Unit's circuit breaker is switched on or off.
S174,Status of the customer interface,"In HES, it shall be possible to see whether the Customer Interface in a Metering Unit is enabled or disabled for data sending."
