ID,Feature,Description
R-4,Create new bookmark,Verify new bookmarks can be created (not added).
R-9,Surf All Bookmarks,Verify that there are no 'dead' default links.
R-14,Save State,Verify that changes are saved over restart/crash
R-16,Rename bookmark inline - not implemented,"Change the name of a bookmark without use of the bookmark properties
      dialog."
R-32,Styled Text,"Determine whether text copied from a formatted web page (such as
      within a table) has a ""non-annoying"" layout."
R-41,D&D Links across browser windows,"Confirm that dragging a link across browser windows
      opens the link."
R-44,D&D Images onto the Desktop,Vrify that dragging an image onto the desktop saves the image
R-46,D&D to Composer,"Verify that browser contents can be dragged to
      a Composer or Compose Mail window."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-49,D&D from the desktop – Shortcuts,"Confirm that dragging an Internet shortcut to the
      browser window opens the URL"
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-55,D&D onto the Application Icon,"Verify that items dragged onto the
      application icon are handled properly"
R-58,D&D from Bookmark Manager,"Determine if the application and OS properly
      handle items dragged from the Bookmark Manager"
R-71,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-77,Edit Form Data - cancel,"Verify that if you enter data in the Form Manager and then
      click cancel, the data has not been saved"
R-81,Installation,"Verify that it is possible to install only the needed help files
        (for components that are actually installed)"
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-92,Glossary,"Verify that in the Glossary there includes a section for an
        Intro/tutorial for NS6."
R-94,Glossary,"Verify that in the Glossary there includes a tutorial on how to do
        better searches"
R-96,Tool bar Minimization,"Verify that minimization, maximize and close buttons of the toolbar
        invoke the correct behavior"
R-100,Drag Receipt,Verify that you can't drag docs into the help window
R-105,Instant Messenger,"Determine whether Instant Messenger help content displays
        correctly"
R-106,Customizing Netscape 6,"Determine whether Customzing Netscape 6 help content displays
        correctly"
R-111,Same time messaging,Determine whether Same time messaging displays correctly
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-113,The Best Standards Support,"Determine whether the Best Standards Support displays
        correctly"
R-115,Netscape Technical Support,"Determine whether Netscape Technical Support displays
        correctly"
R-116,Security Center,Determine whether the Security Center displays correctly
R-122,Record after redirect,"Verify that the correct link is recorded after a server
        redirect."
R-124,Delete one entry,Delete a History entry
R-133,Don't show 302 redirect,Don't ever show 302 redirects in history
R-134,Go menu list,Verify correct recently visited sites are in go menu.
R-136,Surf Go menuitems,Verify browser goes back and forward to recently visited sites
R-138,New session,"Verify that a new session is started with a new browser window or a
        restart."
R-139,Back and forward with named anchors,"Verify browser goes back and forward correctly from sites that use
        named anchors"
R-143,Resize to original,"Determine that it is possible to resize an image to it's original
        size after it has been resized to window size."
R-151,Cache/Networking,"Determine whether images load directly into the web browser from a
        networked server."
R-154,Animated Images,"Determine whether an automatically updated web cam continues to
        refresh over an extended (24 hour) period of time."
R-166,"Save username and password, yes","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-168,"Save username and password, no","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-174,Preferences disable,"Verify that when you disable password manager from the preferences
      panel, you no longer are asked if you would like to save passwords and
      longer get prefilled info on sites"
R-176,"Preferences, view saved passwords","Verify that when you have saved a username and password in password
      manager, this information can be viewed in the password manager through
      preferences"
R-178,"Preferences, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (espn.com)"
R-179,"Preferences, passwords saved, remove all","Verify that you can remove all username and password information and
      it will no longer autofill nor will anything be listed in password
      manager"
R-190,Test Page,Print a test page and check to see if it prints properly
R-192,Indentation Test,Determine if a page with indentations prints as seen on screen
R-197,Print Mozillazine poll result page,Determine if the Mozillazine Poll results page prints properly
R-198,Print large complex pages,Determine if  large page print properly
R-202,Print images,Determine if images print correctly
R-204,Print Tables,Determine if tables print correctly
R-209,Off-Line Printing,Determine that off-line printing works
R-210,Header/Footer Test,Determine that header/footer info gets printed
R-219,Viewpoint Plugin,Determine if windows media player works fine
R-223,basic sidebar search,"Verify that a basic search from within the Search tab can be
      executed"
R-225,Bookmark Search,Verify that a search query/results can be bookmarked
R-239,UI,Cursors should have the right icon when mousing over
R-243,Add/Remove,Adding a already added panel
R-246,Add/Remove,Verify list of available remote panels
R-250,Re-Order,Verify reordering of panels works
R-251,Cancel,Verify that nothing changes when you cancel
R-260,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-261,Basic UI and navigation,"Determine that interface features (buttons, textfield, droplist)
        appear and behave as expected. Includes tests to dismiss dialog."
R-274,Use on Mac OS,"Use of the native Mac OS file picker to navigate through
        directories and open files (html, plaintext, image). Cancellation also
        tested."
R-279,Case sensitivity,Find with and without case sensitivity. Test Find Again.
R-291,Basic access,Access from main menu and access keys.
R-295,Navigation/UI,"Scrolling and keyboard navigation within the info window. Also
        should be able to use [applicable] keyboard accelerators. Resize source
        window. Manipulate the grippy."
R-298,Testing under Classic theme,Verify Classic theme works as advertised
R-301,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-304,"Verify all the selectable items on other applications under
        Classic theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Classic theme"
R-305,Verify all the selectable items work under Modern theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Modern theme"
R-310,Maximize Window,Click to maximize (expandto content on Mac)
R-313,Stretch Window Horizontally,"Grab left/right window edge and drag to resize. Not available on
        Mac."
R-319,Page scroll,Click in the scrollbar area to page up/down.
R-321,Reorder,"Verify that toolbars can be dragged&dropped to change their
        order"
R-322,Correct items on Bookmarks bar.,Verify correct bookmarks are installed in Bookmarks bar.
