ID,Feature,Description
R-2,Add Bookmark,"Verify that bookmarks are properly added to bookmarks file and appear
      in all access points."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-12,Show/Hide Folder,Verify that disclosure triangles/folder icons are in sync.
R-15,View item properties,"Verify that view properties works as appropriate for bookmarks,
      folders, and separators(negative)"
R-16,Rename bookmark inline - not implemented,"Change the name of a bookmark without use of the bookmark properties
      dialog."
R-20,Show/Hide columns,Show and hide columns.
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-37,Stress,"Determine whether complicated rich text (such as massively nested
      tables) can be copied."
R-39,General,"Determine whether text outputted by JavaScript is properly
      copied."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-45,D&D to Frameset page,"Verify that dragging onto a frame-set
      page loads the dragged content properly."
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-49,D&D from the desktop – Shortcuts,"Confirm that dragging an Internet shortcut to the
      browser window opens the URL"
R-53,D&D from the destkop – Invalid Items,"Confirm that invalid items dragged to the
      browser window are handled properly"
R-70,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-77,Edit Form Data - cancel,"Verify that if you enter data in the Form Manager and then
      click cancel, the data has not been saved"
R-79,Delete Form Data - cancel,"Verify that if you delete data in the Form Manager then
      click cancel, the data has not been deleted"
R-84,Sidebar,"Verify that there is a tab for help and you can create a Help
        Sidebar tab with dynamic information"
R-86,Favorite,"Verify that is it is possible to have favorite help topics -
        similar to IE help which has a special tab to add favorite help
        topics."
R-90,TS/Buddy List,"Verify that there is Troubleshooting Help about the problme ""if you
        can't see anyone in your buddy list window."""
R-93,Glossary,"Verify that in the Glossary there includes a section for an Upgrade
        Guide."
R-95,Forward/Back,Verify the functionality of the forward/back buttons in Help
R-96,Tool bar Minimization,"Verify that minimization, maximize and close buttons of the toolbar
        invoke the correct behavior"
R-98,Hide/Show toolbar,"Verify that you can hide the toolbar in help as well as reopen
        it"
R-103,Browsing the Web,"Determine whether Browsing the web help content displays
        correctly"
R-106,Customizing Netscape 6,"Determine whether Customzing Netscape 6 help content displays
        correctly"
R-107,Understanding Privacy,"Determine whether Understanding Privacy help content displays
        correctly"
R-108,Creating web pages,"Determine whether Creating web pages help content displays
        correctly"
R-109,What's new in Netscape 6,Determine whether What's new in Netscape 6 displays correctly
R-111,Same time messaging,Determine whether Same time messaging displays correctly
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-113,The Best Standards Support,"Determine whether the Best Standards Support displays
        correctly"
R-116,Security Center,Determine whether the Security Center displays correctly
R-118,Feedback Center,Determine whether the Feedback Center displays correctly
R-119,About,Determine whether the About Netscape displays correctly
R-120,Short Cuts,"Determine that you can open all the selections in the Help drop
        down menu using short cut buttons."
R-122,Record after redirect,"Verify that the correct link is recorded after a server
        redirect."
R-124,Delete one entry,Delete a History entry
R-128,Change grouping,Change the History View to Group by Day|Site|None
R-136,Surf Go menuitems,Verify browser goes back and forward to recently visited sites
R-141,Resize to window,"Determine that large Images can be resized to the browser window
        and will not cause you to scroll in order to view entire image."
R-142,Text and image resize,"Determine that you are not able to resize an image to window when
        there is also text on the page, this is a stand alone image feature
        only."
R-146,Send in mail,"Determine that you can right click an image and send it via
        email."
R-148,Print image,"Determine that it is possible to print an image without changing
        the currently loaded page"
R-153,Image Display,"Determine whether animated GIFs continue to animate after an
        extended period of 24 hours or greater."
R-154,Animated Images,"Determine whether an automatically updated web cam continues to
        refresh over an extended (24 hour) period of time."
R-159,Image Display,"Determine whether GIF 89a images are properly displayed across
        different bit depths."
R-160,Stress,"Determine whether the web brower gracefully deals with unusual,
        corrupted, or invalid GIF images."
R-163,Test lifecycle of applets,Test lifecycle of applets
R-166,"Save username and password, yes","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-167,"Save username and password, never for this site","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-170,"Activiation, Http Authentication","Need a good working case for this, working on
      it"
R-171,"Actitvation, ftp","Need a good working case for this, working on
      it"
