ID,Feature,Description
R-5,Delete Bookmark,"Verify that bookmarks are properly deleted from bookmarks file and
      disappear from all access points."
R-20,Show/Hide columns,Show and hide columns.
R-30,Prevent bad drops,"Verify that it is NOT possible to drop an item onto itself or its
      immediate parent or child"
R-31,Styled Text,"Currently, it is my understanding that there will be no new features
      in this area"
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-41,D&D Links across browser windows,"Confirm that dragging a link across browser windows
      opens the link."
R-43,D&D Images across browser windows,"Verify that dragging an image across browser windows
      opens the image"
R-44,D&D Images onto the Desktop,Vrify that dragging an image onto the desktop saves the image
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-52,D&D from the desktop – Plug-in files,"Confirm that dragging a helper-application
       file to the browser window opens the file
       properly"
R-53,D&D from the destkop – Invalid Items,"Confirm that invalid items dragged to the
      browser window are handled properly"
R-56,D&D URL Proxy Icons,"Verify that dragging the URL proxy icon to a browser
      window opens that URL in the target window"
R-60,D&D Large Images (stress),"Verify that dragging a large (e.g. 5 MB) image across
      browser windows, to desktop, and into mail message
      works properly."
R-62,D&D Bookmarks menu to toolbar,"Verify that you can drag a bookmark from the Bookmarks menu
      to the Personal Toolbar."
R-63,Dragging links to AIM,"Verify that you can drag a URL or page content to
      an AIM window"
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-66,Form Manager - Permission Zones,"* Longer range:
      there is discussion about introducing Internet permission zones.
      Some of the settings shown here may be controlled by such zones
      (Waiting for Implementation)"
R-68,Save Form Data - right click,"Verify that you can save a form's data by right clicking on
      the form itself."
R-69,Save Form Data - dialog yes,"Verify that you can save a form's data from the
      popup dialog box and you click yes."
R-72,Save Form Data - never return,"Verify that you can save a form's data from the popup dialog
      box, never for this site and you are never asked again upon
      returning to the site."
R-81,Installation,"Verify that it is possible to install only the needed help files
        (for components that are actually installed)"
R-82,Tooltips,"Verify that there are ""Big tooltips"" - Similar to popup help for
        Windows control panels"
R-83,Search,"Verify that you have the ability to search by typing keyword
        synonyms, and verbs to bring up related topics in help content. Verify
        that if the entered phrase may not actually exist in the help document,
        but it is related to topic."
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-87,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content."
R-88,TS/Sign on,"Verify that there is Troubleshooting Help about the problem ""if you
        can't sign on"""
R-95,Forward/Back,Verify the functionality of the forward/back buttons in Help
R-102,Help Contents,Determine whether Help Contents displays correctly
R-104,Mail and News,"Determine whether Mail and News help content displays
        correctly"
R-105,Instant Messenger,"Determine whether Instant Messenger help content displays
        correctly"
R-107,Understanding Privacy,"Determine whether Understanding Privacy help content displays
        correctly"
R-109,What's new in Netscape 6,Determine whether What's new in Netscape 6 displays correctly
R-121,Record sites,Verify that visited links are recorded.
R-126,Erase all,Clear all of history
R-136,Surf Go menuitems,Verify browser goes back and forward to recently visited sites
R-141,Resize to window,"Determine that large Images can be resized to the browser window
        and will not cause you to scroll in order to view entire image."
R-143,Resize to original,"Determine that it is possible to resize an image to it's original
        size after it has been resized to window size."
R-144,Resized to window,"Determine that after resizing an image to it's original size, it is
        possible to resize to window again."
R-147,Set image as wallpaper,Determine that you are able to set image as wallpaper.
R-148,Print image,"Determine that it is possible to print an image without changing
        the currently loaded page"
R-151,Cache/Networking,"Determine whether images load directly into the web browser from a
        networked server."
R-152,Image Display,"Determine whether images load directly into the web browser from a
        local hard drive."
R-155,Animated Images,"Determine whether displaying animated GIFs result in single server
        request for the image, rather than additional requests upon each frame
        change."
R-158,Image Display,"Determine whether GIF 87 images are properly displayed across
        different bit depths."
R-163,Test lifecycle of applets,Test lifecycle of applets
R-164,Master Password prompt,"Verify that the master password is visually distinctive from other
        password prompts (indicates the functionality and importance of the
        master password)"
R-166,"Save username and password, yes","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-167,"Save username and password, never for this site","Verify that the browser behaves correctly after selections are made
      in the save password dialog box"
R-170,"Activiation, Http Authentication","Need a good working case for this, working on
      it"
R-171,"Actitvation, ftp","Need a good working case for this, working on
      it"
R-172,"Password Manager, multiple users","Verify that when you have saved multiple username's and password's
      for a website, you are later presented with those same choices"
R-175,Preferences enable,"Verify that when you enable password manager from the preferences
      panel, you are asked if you would like to save usernames and passwords
      and get prefilled info on sites"
R-181,"Preferences, passwords never saved, remove all","Verify that you can remove all site and username information from the
      passwords never saved section of password manager (ivillage.com)"
R-186,"Tasks, passwords never saved, remove","Verify that you can remove a site and username from the passwords
      never saved section of password manager"
R-188,Print a Page with frames,Determine whether a page with frames prints properly
R-197,Print Mozillazine poll result page,Determine if the Mozillazine Poll results page prints properly
R-202,Print images,Determine if images print correctly
R-205,Print Character Styles,Determine if character styles print correctly
R-211,Print Range,Determine that print range works properly
R-212,Macromedia Flash plugin,Determine if flash movies play correctly.
R-214,Quicktime tests,Determine if quicktime movies play properly
R-219,Viewpoint Plugin,Determine if windows media player works fine
R-227,Drag-selection,"Currently, it is my understanding that there will be no new
        features in this area (can monitor bug list)"
R-228,Drag-selection,"Determine whether drag-selection of text works, both from dead
        space, and from within text."
R-231,Discontiguous (disjoint) selection,"Determine whether discontiguous selection of table cells function
        properly."
R-240,Mouse Over,"Verify that panels appear highlighted when mouse is moved over
        them"
R-242,Add/Remove,Check that addition of a panel works
R-243,Add/Remove,Adding a already added panel
R-245,Add/Remove,Delete all panels
R-246,Add/Remove,Verify list of available remote panels
R-248,Preview,Test the previewing of panels
R-249,Customization,Test the Customization of panels
R-250,Re-Order,Verify reordering of panels works
R-251,Cancel,Verify that nothing changes when you cancel
R-255,Bookmarks,Verify that links in Bookmarks work
R-258,Add Menu,"Verify that unselecting panels from Add menu removes panels from
        the Sidebar"
R-260,Basic access to dialog,Tests to access this dialog from the menubar and keyboard.
R-263,URL in new browser window,"Open a web location (URL) in a new Navigator window. Includes test
        to dismiss dialog."
R-265,URL autocompletion,"After viewing a file/page or three, test URL
        autocompletion: test for current browser, new browser and new editor
        windows."
R-266,Nonexistent URL,Open a nonexistent (bogus) web location.
R-269,Local file in an editor window,"Open local files (both HTML and plain text tested) in a Composer
        window. Includes tests to dismiss dialog."
R-278,Find in other document content,"Find in plaintext, xml page, ftp listing."
R-282,"Whitespace, null","Find using solely whitespace, null, and string with
        prepended/appended whitespace."
R-284,Basic access,"Access from main menu, keyboard accelerator, access keys."
R-292,"Page, frame, frameset","View info for a webpage, frame and frameset."
R-293,Other content,"Attempt to view page info for plain text, xml, ftp listing,
        directory listing..."
R-299,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-302,Checking View menu,Verify if themes exist under View menu
R-306,"Verify all the selectable items on other applications under
        Modern theme","Click through all the items on menu bar and tool bars under AIM,
        Composer, Mail and Address book to see all the looks and feel are
        consistence under Modern theme"
R-307,Verify themes under View menu,"Test all the items under ""Apply Theme"" under View menuSelecting ""Theme Preferences""Get New ThemesClassicModern"
R-308,Window Title,"Verify the title is correct, ""<page title> - Mozilla"""
R-310,Maximize Window,Click to maximize (expandto content on Mac)
R-311,Collapse (mac only),Click to shrink to content
R-312,Close Wndow,Click upper-right (upper left on Mac) to close
R-314,Stretch Window Vertically,"Grab top/bottom window edge and drag to resize. Not available on
        Mac."
R-317,Scroll Arrow Down,Click down arrow to scroll page
R-318,Thumb Scroll,Click and drag thumb to scroll page
R-321,Reorder,"Verify that toolbars can be dragged&dropped to change their
        order"
R-325,Correct items/links,Verify that the correct items are in the taskbar.
