ID,Feature,Description
R-1,View Bookmarks,Verify that bookmarks appear at the standard(4) access points
R-3,File Bookmark,"Add a new bookmark into a specific location within the bookmarks
      hierarchy."
R-8,Surf Bookmark,"Verify that double-clicking on a bookmark causes it to be launched in
      a browser window"
R-31,Styled Text,"Currently, it is my understanding that there will be no new features
      in this area"
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-38,General,"Determine whether text can be copied and pasted from text fields
      within a dialog box."
R-45,D&D to Frameset page,"Verify that dragging onto a frame-set
      page loads the dragged content properly."
R-47,D&D to Dialog,"Confirm that text, links, and images dragged to a
      non-modal dialog are handled properly"
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-57,D&D URL Proxy Icons onto the Desktop,"Verify that dragging the URL proxy icon
      onto the desktop creates a shortcut"
R-61,"D&D <a href=""/drag-url-browser-toolbar/"">
      Given link is non-fetchable, non-retrievable Personal Toolbar",Determine if you can drag items to and from the Personal Toolbar
R-62,D&D Bookmarks menu to toolbar,"Verify that you can drag a bookmark from the Bookmarks menu
      to the Personal Toolbar."
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-67,Save Form Data - edit menu,Verify that you can save a form's data from the edit menu.
R-71,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-76,Edit Form Data - new value for field,"Verify that if you add a new value for a field in Form Manager
      it is later offered as an option when prefilling a form using
      this field."
R-80,F1 shortcut key,Verify that the F1 key brings up the Help dialog
R-84,Sidebar,"Verify that there is a tab for help and you can create a Help
        Sidebar tab with dynamic information"
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-86,Favorite,"Verify that is it is possible to have favorite help topics -
        similar to IE help which has a special tab to add favorite help
        topics."
R-96,Tool bar Minimization,"Verify that minimization, maximize and close buttons of the toolbar
        invoke the correct behavior"
R-101,Non Clickable Regions,"Verify that clicking non clickable regions in help causes no
        behavior"
R-112,Streamlined Interface,Determine whether Streamlined Interface displays correctly
R-117,International Users,Determine whether International Users displays correctly
R-119,About,Determine whether the About Netscape displays correctly
R-123,Load recorded url,"Verify that double-clicking on a history link causes it to be
        launched in a browser window."
