ID,Feature,Description
R-2,Add Bookmark,"Verify that bookmarks are properly added to bookmarks file and appear
      in all access points."
R-3,File Bookmark,"Add a new bookmark into a specific location within the bookmarks
      hierarchy."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-11,Delete Folder,Verify folder(s) are correctly deleted.
R-12,Show/Hide Folder,Verify that disclosure triangles/folder icons are in sync.
R-13,Create/Delete separator,Verify separators are properly added/deleted.
R-14,Save State,Verify that changes are saved over restart/crash
R-17,Custom Keywords,surf using user-defined 'custom keyword'.
R-20,Show/Hide columns,Show and hide columns.
R-30,Prevent bad drops,"Verify that it is NOT possible to drop an item onto itself or its
      immediate parent or child"
R-33,Images,"Determine whether native and non-native images are correctly copied
      to the system Clipboard."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-49,D&D from the desktop – Shortcuts,"Confirm that dragging an Internet shortcut to the
      browser window opens the URL"
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-52,D&D from the desktop – Plug-in files,"Confirm that dragging a helper-application
       file to the browser window opens the file
       properly"
R-55,D&D onto the Application Icon,"Verify that items dragged onto the
      application icon are handled properly"
R-56,D&D URL Proxy Icons,"Verify that dragging the URL proxy icon to a browser
      window opens that URL in the target window"
R-61,"D&D <a href=""/drag-url-browser-toolbar/"">
      Given link is non-fetchable, non-retrievable Personal Toolbar",Determine if you can drag items to and from the Personal Toolbar
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-82,Tooltips,"Verify that there are ""Big tooltips"" - Similar to popup help for
        Windows control panels"
R-83,Search,"Verify that you have the ability to search by typing keyword
        synonyms, and verbs to bring up related topics in help content. Verify
        that if the entered phrase may not actually exist in the help document,
        but it is related to topic."
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-88,TS/Sign on,"Verify that there is Troubleshooting Help about the problem ""if you
        can't sign on"""
R-93,Glossary,"Verify that in the Glossary there includes a section for an Upgrade
        Guide."
R-97,Page up/down,"Verify that page up and down, in fact, page up and down in
        help"
R-101,Non Clickable Regions,"Verify that clicking non clickable regions in help causes no
        behavior"
R-109,What's new in Netscape 6,Determine whether What's new in Netscape 6 displays correctly
R-110,Security and Privacy,Determine whether Security and Privacy displays correctly
R-115,Netscape Technical Support,"Determine whether Netscape Technical Support displays
        correctly"
R-118,Feedback Center,Determine whether the Feedback Center displays correctly
R-119,About,Determine whether the About Netscape displays correctly
R-120,Short Cuts,"Determine that you can open all the selections in the Help drop
        down menu using short cut buttons."
R-122,Record after redirect,"Verify that the correct link is recorded after a server
        redirect."
R-124,Delete one entry,Delete a History entry
R-126,Erase all,Clear all of history
R-132,Don't record everything,"Verify that things that aren't supposed to be added to history
        aren't (eg chorme:/// url's)"
R-135,Back and Forward button dropdowns,"Verify recently visited sites are in Back and Forward button
        dropdown menu and work."
R-138,New session,"Verify that a new session is started with a new browser window or a
        restart."
R-140,Retain scroll position,"Verify that browser remembers scroll state when returning to pages
        in SH"
R-144,Resized to window,"Determine that after resizing an image to it's original size, it is
        possible to resize to window again."
R-145,Save Image,"Determine that you can right click an image and save to your local
        drive."
R-147,Set image as wallpaper,Determine that you are able to set image as wallpaper.
R-148,Print image,"Determine that it is possible to print an image without changing
        the currently loaded page"
