ID,Feature,Description
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-13,Create/Delete separator,Verify separators are properly added/deleted.
R-14,Save State,Verify that changes are saved over restart/crash
R-16,Rename bookmark inline - not implemented,"Change the name of a bookmark without use of the bookmark properties
      dialog."
R-17,Custom Keywords,surf using user-defined 'custom keyword'.
R-18,Sort by columns,sort and reverse-sort per column
R-19,Resize columns,Verify that columns are resizable to show/hide more of entries
R-32,Styled Text,"Determine whether text copied from a formatted web page (such as
      within a table) has a ""non-annoying"" layout."
R-34,Negative,"Determine whether non-copyable page content such as UI widgets are
      correctly omitted from the Clipboard content."
R-36,Overflow,"Determine whether extremely large images can be copied from web
      pages."
R-37,Stress,"Determine whether complicated rich text (such as massively nested
      tables) can be copied."
R-44,D&D Images onto the Desktop,Vrify that dragging an image onto the desktop saves the image
R-48,D&D from the desktop – Folders,"Confirm that dragging a directory
      to the browser window displays the folder contents"
R-49,D&D from the desktop – Shortcuts,"Confirm that dragging an Internet shortcut to the
      browser window opens the URL"
R-50,D&D from the desktop – Text files,"Confirm that dragging a text file to the browser
      window displays the document contents"
R-55,D&D onto the Application Icon,"Verify that items dragged onto the
      application icon are handled properly"
R-56,D&D URL Proxy Icons,"Verify that dragging the URL proxy icon to a browser
      window opens that URL in the target window"
R-60,D&D Large Images (stress),"Verify that dragging a large (e.g. 5 MB) image across
      browser windows, to desktop, and into mail message
      works properly."
R-63,Dragging links to AIM,"Verify that you can drag a URL or page content to
      an AIM window"
R-72,Save Form Data - never return,"Verify that you can save a form's data from the popup dialog
      box, never for this site and you are never asked again upon
      returning to the site."
R-80,F1 shortcut key,Verify that the F1 key brings up the Help dialog
R-82,Tooltips,"Verify that there are ""Big tooltips"" - Similar to popup help for
        Windows control panels"
R-85,Index,"Verify that there is an in Index of help content and a list of
        keywords to links in the help content. (Verify the content is in local
        documents)"
R-86,Favorite,"Verify that is it is possible to have favorite help topics -
        similar to IE help which has a special tab to add favorite help
        topics."
R-88,TS/Sign on,"Verify that there is Troubleshooting Help about the problem ""if you
        can't sign on"""
R-102,Help Contents,Determine whether Help Contents displays correctly
R-105,Instant Messenger,"Determine whether Instant Messenger help content displays
        correctly"
R-107,Understanding Privacy,"Determine whether Understanding Privacy help content displays
        correctly"
R-108,Creating web pages,"Determine whether Creating web pages help content displays
        correctly"
