ID,Feature,Description
R-10,Edit item properties,"Verify that changes to an item are saved without loss of item
      integrity."
R-51,D&D from the desktop – Images,"Confirm that dragging a supported image file
       to the browser window display the file"
R-114,New to the net tutorial,"Determine whether the New to the net tutorial displays
        correctly"
R-116,Security Center,Determine whether the Security Center displays correctly
R-119,About,Determine whether the About Netscape displays correctly
R-121,Record sites,Verify that visited links are recorded.
R-133,Don't show 302 redirect,Don't ever show 302 redirects in history
R-135,Back and Forward button dropdowns,"Verify recently visited sites are in Back and Forward button
        dropdown menu and work."
R-148,Print image,"Determine that it is possible to print an image without changing
        the currently loaded page"
R-152,Image Display,"Determine whether images load directly into the web browser from a
        local hard drive."
R-154,Animated Images,"Determine whether an automatically updated web cam continues to
        refresh over an extended (24 hour) period of time."
R-161,Test applets in HTML tags,"Test applets within <embed>, <applet> and 
  <object> tags"
R-162,Test Liveconnect functionality with applets,Test applets with liveconnect
R-178,"Preferences, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (espn.com)"
R-184,"Tasks, passwords saved, remove","Verify that you can remove a username and password for a given site
      and it will no longer autofill on that sight nor will it be listed in
      password manager (netscape.com)"
R-202,Print images,Determine if images print correctly
R-208,Page Setup(mac only),Determine id Page Setup dialog works correctly
R-219,Viewpoint Plugin,Determine if windows media player works fine
R-220,Search button,Verify that just clicking Search button goes to search page
R-227,Drag-selection,"Currently, it is my understanding that there will be no new
        features in this area (can monitor bug list)"
R-294,Info window content,Verify these sections:Information on the current pageForms on the current page (if applicable)Images on the current page (if applicable)Screenshot of selected images below grippy.
R-299,Check the appearance of browser,"Visually inspect menu bar, floating component bar and all the
        tool bars"
R-303,Verify all the selectable items work under Classic theme,"Click through all the items on menu bar, tool bars, and floating
        component bar under Classic theme"
R-315,Stretch Window Diagonally,"Grab any corner of window and drag to resize. Only bottom-right
        corner on Mac."
R-318,Thumb Scroll,Click and drag thumb to scroll page
