ID,Feature,Description
R-2,Add Bookmark,"Verify that bookmarks are properly added to bookmarks file and appear
      in all access points."
R-5,Delete Bookmark,"Verify that bookmarks are properly deleted from bookmarks file and
      disappear from all access points."
R-6,Add/Delete Personal Toolbar bookmark,"Verify that items from the personal toolbar folder are properly
      added/deleted."
R-7,Create Folder,Verify new folder creation and nesting of new folders.
R-8,Surf Bookmark,"Verify that double-clicking on a bookmark causes it to be launched in
      a browser window"
R-15,View item properties,"Verify that view properties works as appropriate for bookmarks,
      folders, and separators(negative)"
R-16,Rename bookmark inline - not implemented,"Change the name of a bookmark without use of the bookmark properties
      dialog."
R-18,Sort by columns,sort and reverse-sort per column
R-27,Delete multiple bookmarks,Verify that several bookmarks are deleted at one time.
R-31,Styled Text,"Currently, it is my understanding that there will be no new features
      in this area"
R-34,Negative,"Determine whether non-copyable page content such as UI widgets are
      correctly omitted from the Clipboard content."
R-40,General,"Determine whether HTML entities can be properly copied to other
      applications."
R-43,D&D Images across browser windows,"Verify that dragging an image across browser windows
      opens the image"
R-44,D&D Images onto the Desktop,Vrify that dragging an image onto the desktop saves the image
R-45,D&D to Frameset page,"Verify that dragging onto a frame-set
      page loads the dragged content properly."
R-59,D&D to Bookmark Manager,"Determine if the Bookmark Manager properly handles
      items dragged onto it."
R-60,D&D Large Images (stress),"Verify that dragging a large (e.g. 5 MB) image across
      browser windows, to desktop, and into mail message
      works properly."
R-64,Form Manager - Autocomplete,"113893Implement New Form Functionality
      (waiting on bug status)"
R-66,Form Manager - Permission Zones,"* Longer range:
      there is discussion about introducing Internet permission zones.
      Some of the settings shown here may be controlled by such zones
      (Waiting for Implementation)"
R-70,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-71,Save Form Data - dialog no,"Verify that you can stop a form's data from being saved from
      the popup dialog box, and you click no."
R-72,Save Form Data - never return,"Verify that you can save a form's data from the popup dialog
      box, never for this site and you are never asked again upon
      returning to the site."
R-75,Prefill - choose,"Verify that when you encounter a Web site that could be prefilled
      and have several choices for fields that you are given the pre-fill
      dialog and can select from the appropriate values and the information
      is filled into the form."
R-77,Edit Form Data - cancel,"Verify that if you enter data in the Form Manager and then
      click cancel, the data has not been saved"
